[2023-06-06 13:32:17,618: INFO: main: Deal Discount Project Custom Logging]
[2023-06-06 17:23:07,707: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:23:07,726: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:23:07,726: INFO: common: Created directory: artifacts]
[2023-06-06 17:23:07,727: ERROR: 1262342779: "'ConfigBox' object has no attribute 'source_dir'"]
[2023-06-06 17:25:49,800: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:25:49,801: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:25:49,802: ERROR: 1262342779: "'ConfigBox' object has no attribute 'source_dir'"]
[2023-06-06 17:26:13,461: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:26:17,670: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:26:20,896: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:26:39,641: ERROR: 1262342779: "'ConfigBox' object has no attribute 'source_dir'"]
[2023-06-06 17:26:54,339: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:26:54,342: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:28:45,002: ERROR: 1262342779: "'ConfigBox' object has no attribute 'source_dir'"]
[2023-06-06 17:28:45,468: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:28:45,470: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:28:45,470: ERROR: 1262342779: "'ConfigBox' object has no attribute 'source_dir'"]
[2023-06-06 17:28:57,540: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:28:57,542: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:28:57,543: INFO: common: Created directory: artifacts/data_ingestion]
[2023-06-06 17:28:57,544: INFO: 1595801065: Downloading data from https://github.com/sandeeppvn/Sales-Deal-Discount-Optimization/blob/main/Data/DealData.xlsx]
[2023-06-06 17:28:58,222: INFO: 1595801065: Data downloaded at artifacts/data_ingestion/DealData.xlsx]
[2023-06-06 17:43:17,672: INFO: main: Starting STAGE 1: DATA INGESTION]
[2023-06-06 17:43:17,672: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:43:17,672: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:43:17,673: INFO: data_ingestion: Data already exists at artifacts/data_ingestion/DealData.xlsx]
[2023-06-06 17:43:17,673: INFO: main: Completed STAGE 1: DATA INGESTION]
[2023-06-06 17:43:37,578: INFO: main: Starting STAGE 1: DATA INGESTION]
[2023-06-06 17:43:37,579: INFO: common: Reading yaml file: config/config.yaml]
[2023-06-06 17:43:37,579: INFO: common: Reading yaml file: params.yaml]
[2023-06-06 17:43:37,579: INFO: data_ingestion: Downloading data from https://github.com/sandeeppvn/Sales-Deal-Discount-Optimization/blob/main/Data/DealData.xlsx]
[2023-06-06 17:43:38,275: INFO: data_ingestion: Data downloaded at artifacts/data_ingestion/DealData.xlsx]
[2023-06-06 17:43:38,275: INFO: main: Completed STAGE 1: DATA INGESTION]
